NCDD_CodeP,Province,TMCFi,FCFi,MCFi,PFCFi,PMCFi
1,Banteay Meanchey,13858,6808,7050,49.13,50.87
2,Battambang,18239,8000,10239,43.86,56.14
3,Kampong Cham,6951,1467,5484,21.1,78.9
4,Kampong Chhnang,17889,8936,8953,49.95,50.05
5,Kampong Speu,0,0,0,0,0
6,Kampong Thom,10465,4842,5623,46.27,53.73
7,Kampot,1901,682,1219,35.88,64.12
8,Kandal,2595,1165,1430,44.89,55.11
9,Koh Kong,7420,3820,3600,51.48,48.52
10,Kratie,26369,13005,13364,49.32,50.68
11,Mondul Kiri,0,0,0,0,0
12,Phnom Penh,0,0,0,0,0
13,Preah Vihear,0,0,0,0,0
14,Prey Veng,9461,2217,7244,23.43,76.57
15,Pursat,15841,7871,7970,49.69,50.31
16,Ratanak Kiri,2050,1079,971,52.63,47.37
17,Siem Reap,25052,10771,14281,42.99,57.01
18,Preah Sihanouk,4990,1123,3867,22.51,77.49
19,Stung Treng,10233,4334,5899,42.35,57.65
20,Svay Rieng,0,0,0,0,0
21,Takeo,60945,28093,32852,46.1,53.9
22,Otdar Meanchey,0,0,0,0,0
23,Kep,546,220,326,40.29,59.71
24,Pailin,0,0,0,0,0
