NCDD_CodeP,Name,PhyVio,SexVio,MenVio,HHEcoVio,TT_Dom_Vio
1,Banteay Meanchey,289,32,215,132,668
2,Battambang,614,30,519,246,1409
3,Kampong Cham,1238,191,815,441,2685
4,Kampong Chhnang,563,40,462,219,1284
5,Kampong Speu,547,42,508,213,1310
6,Kampong Thom,586,49,465,272,1372
7,Kampot,379,14,211,113,717
8,Kandal,736,49,496,293,1574
9,Koh Kong,95,6,57,18,176
10,Kratie,352,15,248,123,738
11,Mondul Kiri,91,8,72,37,208
12,Phnom Penh,213,13,284,88,598
13,Preah Vihear,280,10,301,112,703
14,Prey Veng,546,16,492,275,1329
15,Pursat,408,36,298,92,834
16,Ratanak Kiri,162,12,76,34,284
17,Siem Reap,487,52,422,235,1196
18,Preah Sihanouk,199,19,106,49,373
19,Stung Treng,123,5,93,28,249
20,Svay Rieng,232,17,133,72,454
21,Takeo,499,36,301,157,993
22,Oddar Meanchey,244,12,243,62,561
23,Kep,18,1,15,2,36
24,Pailin,70,13,105,71,259
