NCDD_CodeP,Province,T_LIT15,M_LIT15,F_LIT15,X,Y
1.00000000000,Banteay Meanchey,76.71000000000,85.07000000000,69.03000000000,235800,1511100
2.00000000000,Battambang,78.88000000000,85.90000000000,72.31000000000,305100,1447900
3.00000000000,Kampong Cham,74.47000000000,82.42000000000,67.32000000000,550300,1325900
4.00000000000,Kampong Chhnang,75.54000000000,83.53000000000,68.60000000000,464100,1354300
5.00000000000,Kampong Speu,75.52000000000,85.11000000000,66.96000000000,448100,1266300
6.00000000000,Kampong Thom,67.78000000000,75.75000000000,60.65000000000,487800,1404900
7.00000000000,Kampot,76.90000000000,85.50000000000,69.29000000000,410700,1172100
8.00000000000,Kandal,83.11000000000,89.15000000000,77.75000000000,494300,1269900
9.00000000000,Koh Kong,75.16000000000,83.53000000000,66.75000000000,280200,1284700
10.00000000000,Kratie,73.74000000000,80.13000000000,67.54000000000,611100,1379800
11.00000000000,Mondul Kiri,60.91000000000,72.41000000000,48.66000000000,737800,1377200
12.00000000000,Phnom Penh,93.17000000000,96.21000000000,90.57000000000,491300,1279400
13.00000000000,Preah Vihear,63.52000000000,72.34000000000,55.00000000000,497000,1527000
14.00000000000,Prey Veng,79.25000000000,88.55000000000,71.36000000000,535500,1269300
15.00000000000,Pursat,77.05000000000,84.90000000000,70.04000000000,383000,1386400
16.00000000000,Ratanak Kiri,45.90000000000,55.20000000000,36.55000000000,715400,1519700
17.00000000000,Siem Reap,68.68000000000,76.22000000000,61.79000000000,376700,1576700
18.00000000000,Preah Sihanouk,80.44000000000,87.66000000000,73.41000000000,336500,1175600
19.00000000000,Stung Treng,61.45000000000,69.95000000000,53.12000000000,605100,1495800
20.00000000000,Svay Rieng,78.69000000000,89.95000000000,68.96000000000,588400,1224800
21.00000000000,Takeo,77.43000000000,87.44000000000,68.56000000000,476700,1214700
22.00000000000,Otdar Meanchey,63.76000000000,73.72000000000,53.92000000000,339400,1567200
23.00000000000,Kep,72.82000000000,81.85000000000,64.47000000000,426500,1160000
24.00000000000,Pailin,75.50000000000,83.38000000000,67.14000000000,241982,1420336
